gppd_idnr,elevation_meters
BRA0030050,43
BRA0032667,559
BRA0032860,550
BRA0000161,333
BRA0031329,994
BRA0028991,733
BRA0030400,140
BRA0000016,771
BRA0000017,99
BRA0028963,600
BRA0030428,774
BRA0029310,68
BRA0029304,22
BRA0029379,30
BRA0029481,827
BRA0029569,1060
BRA0029351,816
BRA0029317,182
BRA0029861,22
BRA0029584,744
BRA0029369,657
BRA0029868,8
BRA0028942,867
BRA0000031,547
BRA0029929,430
BRA0032677,699
BRA0028696,399
BRA0031040,649
BRA0029076,597
BRA0029711,267
BRA0029706,726
BRA0000042,66
BRA0031182,820
BRA0029514,496
BRA0029085,5
BRA0027536,528
BRA0027387,8
BRA0030167,150
BRA0030168,1
BRA0028049,346
BRA0029150,65
BRA0030821,732
BRA0029299,367
BRA0027913,330
BRA0000047,370
BRA0000048,248
BRA0028444,0
BRA0028443,9
BRA0029112,76
BRA0000100,8
BRA0000101,7
BRA0000058,291
BRA0000060,559
BRA0030560,29
BRA0029991,860
BRA0000068,267
BRA0028802,482
BRA0030687,459
BRA0027414,682
BRA0028748,446
BRA0000076,230
BRA0000078,438
BRA0028817,455
BRA0028538,173
BRA0029591,19
BRA0028916,23
BRA0000082,25
BRA0028580,834
BRA0030320,1137
BRA0027483,599
BRA0027484,529
BRA0030115,328
BRA0031250,12
BRA0000087,83
BRA0030472,523
BRA0000089,536
BRA0030779,769
BRA0029069,1323
BRA0031092,381
BRA0000092,33
BRA0002133,202
BRA0030732,792
BRA0029670,341
BRA0028734,552
BRA0000104,817
BRA0000105,29
BRA0030880,735
BRA0000077,441
BRA0030954,590
BRA0029680,519
BRA0027250,45
BRA0030275,45
BRA0030276,37
BRA0000114,204
BRA0000116,710
BRA0001510,246
BRA0029104,698
BRA0000124,141
BRA0000859,269
BRA0029052,1295
BRA0028531,4
BRA0000127,9
BRA0030722,702
BRA0028683,190
BRA0028488,342
BRA0032744,636
BRA0032845,618
BRA0030121,4
BRA0027733,893
BRA0000140,529
BRA0000141,491
BRA0028446,529
BRA0030340,86
BRA0027910,293
BRA0029555,57
BRA0030622,23
BRA0031216,826
BRA0030224,777
BRA0028815,743
BRA0001278,326
BRA0028755,585
BRA0030505,84
BRA0030547,98
BRA0030548,96
BRA0030498,98
BRA0030507,156
BRA0030520,128
BRA0030513,87
BRA0030508,73
BRA0000162,11
BRA0030191,767
BRA0031505,60
BRA0030403,15
BRA0034375,234
BRA0028012,328
BRA0029637,75
BRA0031343,830
BRA0031341,889
BRA0031356,866
BRA0033354,772
BRA0033311,761
BRA0033343,727
BRA0033561,1018
BRA0033525,174
BRA0033384,1093
BRA0028586,8
BRA0000168,78
BRA0029088,65
BRA0030457,6
BRA0030462,7
BRA0030461,15
BRA0030480,6
BRA0031471,245
BRA0031719,12
BRA0031653,7
BRA0031646,12
BRA0031647,16
BRA0031663,8
BRA0001096,831
BRA0000175,20
BRA0029071,300
BRA0030070,419
BRA0000019,997
BRA0033443,763
BRA0033397,788
BRA0033376,579
BRA0033390,562
BRA0033225,763
BRA0030048,95
BRA0033361,65
BRA0032747,769
